ItemId;Matches with reference;Matches without reference;Partial matches with reference;Partial matches without reference;Mismatches with reference;Mismatches without reference;Matches;Partials;Mismatches;Partials/Partials+Mismatches;;;;
Q458;0;0;0;0;1;0;0;0;1;0;;;;
Q459;0;0;0;0;1;0;0;0;1;0;;;;
Q472;0;0;0;0;1;0;0;0;1;0;;;;
Q490;0;0;0;0;1;0;0;0;1;0;;;;
Q495;0;0;0;0;1;0;0;0;1;0;;;;
Q546;0;0;0;0;1;0;0;0;1;0;;;;
Q574;0;0;0;0;1;0;0;0;1;0;;;;
Q580;0;0;0;0;1;0;0;0;1;0;;;;
Q582;0;0;0;0;1;0;0;0;1;0;;;;
Q585;0;0;0;0;1;0;0;0;1;0;;;;
Q586;0;0;0;0;1;0;0;0;1;0;;;;
Q597;0;0;0;0;1;0;0;0;1;0;;;;
Q598;0;0;0;0;1;0;0;0;1;0;;;;
Q613;0;0;0;0;0;1;0;0;1;0;;;;
Q617;0;0;0;0;1;0;0;0;1;0;;;;
Q621;0;0;0;0;1;0;0;0;1;0;;;;
Q622;0;0;0;0;1;0;0;0;1;0;;;;
Q628;0;0;0;0;1;0;0;0;1;0;;;;
Q641;0;0;0;0;1;0;0;0;1;0;;;;
Q644;0;0;0;0;1;0;0;0;1;0;;;;
Q647;0;0;0;0;1;0;0;0;1;0;;;;
Q648;0;0;0;0;1;0;0;0;1;0;;;;
Q656;0;0;0;0;1;0;0;0;1;0;;;;
Q657;0;0;0;0;1;0;0;0;1;0;;;;
Q664;0;0;0;0;0;1;0;0;1;0;;;;
Q668;0;0;0;0;1;0;0;0;1;0;;;;
Q672;0;0;0;0;1;0;0;0;1;0;;;;
Q678;0;0;0;0;1;0;0;0;1;0;;;;
Q683;0;0;0;0;1;0;0;0;1;0;;;;
Q685;0;0;0;0;1;0;0;0;1;0;;;;
Q686;0;0;0;0;1;0;0;0;1;0;;;;
Q691;0;0;0;0;1;0;0;0;1;0;;;;
Q694;0;0;0;0;1;0;0;0;1;0;;;;
Q695;0;0;0;0;1;0;0;0;1;0;;;;
Q701;0;0;0;0;1;0;0;0;1;0;;;;
Q702;0;0;0;0;1;0;0;0;1;0;;;;
Q705;0;0;0;0;1;0;0;0;1;0;;;;
Q707;0;0;0;0;1;0;0;0;1;0;;;;
Q709;0;0;0;0;1;0;0;0;1;0;;;;
Q710;0;0;0;0;1;0;0;0;1;0;;;;
Q711;0;0;0;0;0;1;0;0;1;0;;;;
Q712;0;0;0;0;1;0;0;0;1;0;;;;
Q715;0;0;0;0;1;0;0;0;1;0;;;;
Q717;0;0;0;0;0;1;0;0;1;0;;;;
Q719;0;0;0;0;1;0;0;0;1;0;;;;
Q724;0;0;0;0;1;0;0;0;1;0;;;;
Q727;0;0;0;0;1;0;0;0;1;0;;;;
Q730;0;1;0;0;0;0;1;0;0;0;;;;
Q733;0;0;0;0;1;0;0;0;1;0;;;;
Q734;0;0;0;0;1;0;0;0;1;0;;;;
Q736;0;0;0;0;0;1;0;0;1;0;;;;
Q739;0;0;0;0;1;0;0;0;1;0;;;;
